,Schwyz,Geneve,Solothurn,Basel-Landschaft,Freiburg,Appenzell-Innerrhoden,Luzern,Zug,Aargau,Schaffhausen,Zurich,Jura,Neuchatel,Obwalden,Glarus,Uri,Appenzell-Auserrhoden,Thurgau,Nidwalden,Ticino,Basel-Stadt,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-02-04,163227,113597,285153,208196,156278,1244,257903,156231,469223,6298,540175,6793,63708,10131,69096,38234,10399,143193,67514,124190,116442,438291,87906,398147,519540,133621
2019-02-05,169918,112784,297320,214766,161741,1287,270999,162950,492905,6400,566041,6606,65178,11443,70224,40137,11316,150511,72760,125218,119496,453152,86718,411074,533779,134617
2019-02-06,181685,115616,309457,223993,168823,1541,288271,171635,513140,7186,586836,7121,66975,11576,75353,51113,12059,158895,78913,133920,122505,470010,93727,438845,554799,140780
2019-02-07,175753,124200,312504,225813,169304,1295,282685,170389,515347,7517,592789,7104,68961,10854,73253,41175,11481,158036,71497,134480,124943,470816,92572,426424,561166,140817
2019-02-08,215607,134410,332469,239562,194490,1466,300298,179982,540994,8122,637040,8803,72149,12550,109547,51492,12099,166923,78882,140247,135724,520021,136139,521874,629831,181345
2019-02-09,216407,115895,313268,218613,182167,1927,254310,152306,487964,9555,593370,7425,59093,13244,128323,48963,12578,165708,75949,115560,123973,464080,152954,533455,549494,170804
2019-02-10,166349,98086,234133,158643,137677,1621,187161,115228,368315,7715,450894,6165,45273,10635,102434,40354,10551,123249,55307,86626,94482,348295,126919,404606,433744,139970
2019-02-11,157700,113638,285825,211983,154993,1123,258009,153764,471463,6161,532846,6806,62578,9557,63083,38011,10792,144214,65521,125227,120192,434972,80456,384731,509284,127369
2019-02-12,167488,119147,306525,222396,167237,1207,273705,163939,505247,6821,568650,7095,67433,10325,65732,39577,11192,152557,68779,131010,125222,467771,84150,403392,550129,136644
2019-02-13,180950,119138,316278,225314,172609,1345,287444,169136,518974,7243,584185,7147,69087,11083,76330,44604,11767,157410,75235,135923,127059,483320,93790,437856,568214,142617
2019-02-14,189759,126612,324138,231373,177245,1580,290363,172905,529790,7323,603670,7707,69679,12096,83305,47529,12734,164549,76975,139696,129915,496625,102054,459403,584845,149445
2019-02-15,224043,137132,344430,244125,195920,1848,304964,181099,547695,8809,632509,9310,73357,13434,113608,58749,13466,171622,87576,152026,139541,535371,144055,541659,651486,191229
2019-02-16,230931,130165,326581,227735,196537,2484,267888,159009,494400,9584,596221,8971,64163,14741,136108,54809,14005,172478,85145,115500,137051,493824,163170,568385,611676,194675
2019-02-17,203341,103397,275901,187889,159437,2290,227721,141432,421389,9053,492814,7285,50875,14530,120440,55989,12902,134514,77883,103941,106942,414224,148373,467160,505113,152450
2019-02-18,173836,113375,299728,216655,163612,1276,268939,163982,486645,7022,558106,6968,65404,10700,75161,41941,11513,150193,71958,128913,121563,451946,95375,420895,539291,141851
2019-02-19,172775,112693,313437,222869,168938,1336,281053,170946,510787,7051,573891,6843,68787,10797,71136,40956,12031,156042,72479,131882,124828,468601,88455,420748,554432,140481
2019-02-20,178820,117571,319938,223962,172834,1351,287575,173689,521899,7277,588570,7274,70017,10979,73086,42864,12309,159712,73268,134510,124018,481313,91667,430915,566741,144703
2019-02-21,185487,121418,326584,230448,175920,1488,291446,178366,530686,7663,605927,7028,72013,11277,79656,45797,12311,167246,75343,140622,128817,484888,100637,455551,583761,151073
2019-02-22,216638,130424,351956,244545,195788,1520,302990,184032,557624,8510,647956,8726,73475,13373,106974,56447,12779,178245,83730,147714,137968,532631,139415,531679,636745,190141
2019-02-23,222761,119322,331030,219904,187913,1944,261636,162076,510770,9093,614200,8731,66133,13720,131186,51306,13142,171461,76496,115881,128173,493920,155109,546928,593885,213428
2019-02-24,193564,105326,271970,169555,153446,2040,214291,136081,422431,9054,512751,7025,49158,12897,115415,49038,12574,140973,67019,100479,99014,403777,143317,456913,472586,153869
2019-02-25,169938,111797,303313,218076,165184,1315,264625,162944,493488,6758,564748,6799,61102,10381,72297,42109,11072,152056,70138,131933,124360,461714,91028,418313,522091,145352
2019-02-26,169573,113165,317663,223067,173533,1329,273934,168122,512417,6614,573017,6952,63694,10510,69021,40534,11757,154165,69588,132002,124463,489934,86341,418804,540562,146616
2019-02-27,181758,117445,328927,231136,178393,1470,284903,173918,530868,7488,598719,7225,66906,11547,76678,44114,12887,161034,73301,139367,129084,500326,96010,443196,565670,159583
2019-02-28,177237,123379,320369,230798,183790,1355,262127,164779,511268,6954,583376,7074,69297,9926,77858,43560,12197,156497,65771,142302,129336,497544,93892,438180,580728,160018
2019-03-01,204616,134526,346573,245206,199836,1342,280805,172018,538388,9029,623154,8717,55648,12128,100548,57532,12439,169396,76988,157736,138660,544092,131029,507907,614687,184196
2019-03-02,200465,118411,322494,222631,190689,1449,239065,145795,490687,10706,583362,7321,60706,12030,113103,51441,12214,162588,70622,114449,127477,493556,137367,488585,577282,195063
2019-03-03,174540,108249,260257,164957,149009,1573,192932,122647,391398,9526,479778,6764,49481,10451,100904,51625,11305,129963,60815,103249,91911,397129,124676,411813,469444,144714
