date,canton_codes,avg_distance_km
2020-02-09,SG,41.46
2020-02-10,SG,36.57
2020-02-11,SG,40.36
2020-02-12,SG,43.89
2020-02-13,SG,45.03
2020-02-14,SG,47.72
2020-02-15,SG,46.79
2020-02-16,SG,38.25
2020-02-17,SG,41.77
2020-02-18,SG,44.27
2020-02-19,SG,43.06
2020-02-20,SG,46.19
2020-02-21,SG,48.63
2020-02-22,SG,46.52
2020-02-23,SG,33.9
2020-02-24,SG,43.04
2020-02-25,SG,43.63
2020-02-26,SG,41.89
2020-02-27,SG,43.53
2020-02-28,SG,47.79
2020-02-29,SG,41.07
2020-03-01,SG,36.07
2020-03-02,SG,40.78
2020-03-03,SG,41.96
2020-03-04,SG,44.52
2020-03-05,SG,42.59
2020-03-06,SG,45.45
2020-03-07,SG,39.7
2020-03-08,SG,39
2020-03-09,SG,40.03
2020-03-10,SG,40.41
2020-03-11,SG,43.33
2020-03-12,SG,42.96
2020-03-13,SG,43.13
2020-03-14,SG,31.71
2020-03-15,SG,30.36
2020-03-16,SG,35.49
2020-03-17,SG,29.89
2020-03-18,SG,29.95
2020-03-19,SG,28.99
2020-03-20,SG,28.09
2020-03-21,SG,15.26
2020-03-22,SG,12
2020-03-23,SG,24.81
2020-03-24,SG,24.71
2020-03-25,SG,24.8
2020-03-26,SG,24.47
2020-03-27,SG,26.53
2020-03-28,SG,21.34
2020-03-29,SG,11.98
2020-03-30,SG,22.69
2020-03-31,SG,25.36
2020-04-01,SG,26.7
2020-04-02,SG,27.12
2020-04-03,SG,27.7
2020-04-04,SG,21.31
2020-04-05,SG,19.15
2020-04-06,SG,27.45
2020-04-07,SG,23.64
2020-04-08,SG,30.07
2020-04-09,SG,30.85
2020-04-10,SG,21.21
2020-04-11,SG,24.36
2020-04-12,SG,20.56
2020-04-13,SG,20.15
2020-04-14,SG,27.09
2020-04-15,SG,29.94
2020-04-16,SG,28.76
2020-04-17,SG,32.15
2020-04-18,SG,25.45
2020-04-19,SG,22.55
2020-04-20,SG,27.96
2020-04-21,SG,29.25
2020-04-22,SG,27.65
2020-04-23,SG,33.58
2020-04-24,SG,34.17
2020-04-25,SG,25.92
2020-04-26,SG,21.95
2020-04-27,SG,32.9
2020-04-28,SG,30.28
2020-04-29,SG,33.54
2020-04-30,SG,32.65
2020-05-01,SG,30.44
2020-05-02,SG,24.59
2020-05-03,SG,27.67
2020-05-04,SG,34.67
2020-05-05,SG,33.15
2020-05-06,SG,37.6
2020-05-07,SG,41.25
2020-05-08,SG,41.76
2020-05-09,SG,33.71
2020-05-10,SG,29.74
2020-05-11,SG,33.9
2020-05-12,SG,36.33
2020-05-13,SG,30.3
2020-05-14,SG,32.56
2020-05-15,SG,40.78
2020-05-16,SG,35.04
2020-05-17,SG,37.7
2020-05-18,SG,42.66
2020-05-19,SG,41.78
2020-05-20,SG,48.25
2020-05-21,SG,47.86
2020-05-22,SG,48.79
2020-05-23,SG,34.54
2020-05-24,SG,36.97
2020-05-25,SG,43.9
2020-05-26,SG,46.28
2020-05-27,SG,48.26
2020-05-28,SG,45.23
2020-05-29,SG,51.28
2020-05-30,SG,45.01
2020-05-31,SG,46.65
2020-06-01,SG,47.11
2020-02-01,SH,39.54
2020-02-02,SH,26.85
2020-02-03,SH,38.95
2020-02-04,SH,40.51
2020-02-05,SH,42.08
2020-02-06,SH,45.08
2020-02-07,SH,45.36
2020-02-08,SH,36.65
2020-02-09,SH,31.56
2020-02-10,SH,33.69
2020-02-11,SH,37.95
2020-02-12,SH,40.96
2020-02-13,SH,41
2020-02-14,SH,43.05
2020-02-15,SH,36.27
2020-02-16,SH,30.14
2020-02-17,SH,38.04
2020-02-18,SH,41
2020-02-19,SH,40.55
2020-02-20,SH,43.42
2020-02-21,SH,44.22
2020-02-22,SH,38.28
2020-02-23,SH,28.78
2020-02-24,SH,39.5
2020-02-25,SH,40.7
2020-02-26,SH,39.12
2020-02-27,SH,39.71
2020-02-28,SH,43.38
2020-02-29,SH,34.3
2020-03-01,SH,28.2
2020-03-02,SH,37.69
2020-03-03,SH,39.28
2020-03-04,SH,40.38
2020-03-05,SH,39.15
2020-03-06,SH,40.64
2020-03-07,SH,31.82
2020-03-08,SH,29.24
2020-03-09,SH,36.91
2020-03-10,SH,37.39
2020-03-11,SH,39.16
2020-03-12,SH,38.32
2020-03-13,SH,38
2020-03-14,SH,25.67
2020-03-15,SH,24.87
2020-03-16,SH,32.34
2020-03-17,SH,27.15
2020-03-18,SH,26.61
2020-03-19,SH,26.09
2020-03-20,SH,24.93
2020-03-21,SH,12.82
2020-03-22,SH,11.42
2020-03-23,SH,21.8
2020-03-24,SH,22.28
2020-03-25,SH,21.66
2020-03-26,SH,21.79
2020-03-27,SH,23.88
2020-03-28,SH,18.13
2020-03-29,SH,9.73
2020-03-30,SH,21.06
2020-03-31,SH,23.52
2020-04-01,SH,24.01
2020-04-02,SH,23.71
2020-04-03,SH,24.42
2020-04-04,SH,17.49
2020-04-05,SH,15.64
2020-04-06,SH,23.66
2020-04-07,SH,20.9
2020-04-08,SH,26.51
2020-04-09,SH,27.14
2020-04-10,SH,16.39
2020-04-11,SH,19.4
2020-04-12,SH,17.18
2020-04-13,SH,15.99
2020-04-14,SH,24.46
2020-04-15,SH,25.82
2020-04-16,SH,25.63
2020-04-17,SH,27.77
2020-04-18,SH,20.47
2020-04-19,SH,19.17
2020-04-20,SH,24.97
2020-04-21,SH,26.22
2020-04-22,SH,24.46
2020-04-23,SH,29.82
2020-04-24,SH,30.26
2020-04-25,SH,21.17
2020-04-26,SH,18.69
2020-04-27,SH,28.89
2020-04-28,SH,27.23
2020-04-29,SH,30
2020-04-30,SH,30.27
2020-05-01,SH,19.45
2020-05-02,SH,20.21
2020-05-03,SH,21.64
2020-05-04,SH,30.1
2020-05-05,SH,29.52
2020-05-06,SH,33.47
2020-05-07,SH,35.91
2020-05-08,SH,34.63
2020-05-09,SH,26.35
2020-05-10,SH,24.22
2020-05-11,SH,29.21
2020-05-12,SH,32.44
2020-05-13,SH,27.12
2020-05-14,SH,28.49
2020-05-15,SH,36.49
2020-05-16,SH,30.17
2020-05-17,SH,30.67
2020-05-18,SH,34.18
2020-05-19,SH,35.05
2020-05-20,SH,42.13
2020-05-21,SH,35.3
2020-05-22,SH,37.68
2020-05-23,SH,26.03
2020-05-24,SH,28.34
2020-05-25,SH,34.89
2020-05-26,SH,38.25
2020-05-27,SH,38.64
2020-05-28,SH,37.12
2020-05-29,SH,41.57
2020-05-30,SH,34.26
2020-05-31,SH,34.86
2020-06-01,SH,35.04
2020-02-01,SO,48.58
2020-02-02,SO,29.26
2020-02-03,SO,43.28
2020-02-04,SO,45.13
2020-02-05,SO,47.54
2020-02-06,SO,49.87
2020-02-07,SO,52.93
2020-02-08,SO,48.68
2020-02-09,SO,34.87
2020-02-10,SO,39.02
2020-02-11,SO,44.35
2020-02-12,SO,47.79
2020-02-13,SO,48.71
2020-02-14,SO,51.21
2020-02-15,SO,45.82
2020-02-16,SO,33.44
2020-02-17,SO,43.23
2020-02-18,SO,47.21
2020-02-19,SO,46.87
2020-02-20,SO,47.77
2020-02-21,SO,50.11
2020-02-22,SO,42.84
2020-02-23,SO,29.93
2020-02-24,SO,46.01
2020-02-25,SO,45.67
2020-02-26,SO,45
2020-02-27,SO,46.25
2020-02-28,SO,49.88
2020-02-29,SO,40.5
2020-03-01,SO,31.27
2020-03-02,SO,42.27
2020-03-03,SO,44.82
2020-03-04,SO,46.7
2020-03-05,SO,44.58
2020-03-06,SO,47.52
2020-03-07,SO,40.38
2020-03-08,SO,33.02
2020-03-09,SO,42.48
2020-03-10,SO,42.96
2020-03-11,SO,45.97
2020-03-12,SO,44.49
2020-03-13,SO,45.41
2020-03-14,SO,31.77
2020-03-15,SO,28.1
2020-03-16,SO,36.06
2020-03-17,SO,30.92
2020-03-18,SO,30.64
2020-03-19,SO,29.55
2020-03-20,SO,28.67
2020-03-21,SO,15.74
2020-03-22,SO,11.23
2020-03-23,SO,24.61
2020-03-24,SO,25.19
2020-03-25,SO,25.58
2020-03-26,SO,25.33
2020-03-27,SO,27.26
2020-03-28,SO,21.41
2020-03-29,SO,11.74
2020-03-30,SO,23.17
2020-03-31,SO,25.92
2020-04-01,SO,26.95
2020-04-02,SO,27.31
2020-04-03,SO,28.29
2020-04-04,SO,20.56
2020-04-05,SO,19.1
2020-04-06,SO,26.79
2020-04-07,SO,22.77
2020-04-08,SO,29.83
2020-04-09,SO,31.89
2020-04-10,SO,20.67
2020-04-11,SO,23.93
2020-04-12,SO,19.67
2020-04-13,SO,19.9
2020-04-14,SO,27.95
2020-04-15,SO,30.43
2020-04-16,SO,28.35
2020-04-17,SO,32.01
2020-04-18,SO,24.21
2020-04-19,SO,20.86
2020-04-20,SO,27.91
2020-04-21,SO,29.42
2020-04-22,SO,26.59
2020-04-23,SO,33.98
2020-04-24,SO,34.46
2020-04-25,SO,26.5
2020-04-26,SO,20.92
2020-04-27,SO,32.52
2020-04-28,SO,30.95
2020-04-29,SO,34.6
2020-04-30,SO,33.91
2020-05-01,SO,28.35
2020-05-02,SO,23.88
2020-05-03,SO,23.57
2020-05-04,SO,34.22
2020-05-05,SO,33.98
2020-05-06,SO,36.45
2020-05-07,SO,39.75
2020-05-08,SO,39.56
2020-05-09,SO,30.97
2020-05-10,SO,26.53
2020-05-11,SO,32.81
2020-05-12,SO,36.51
2020-05-13,SO,27.97
2020-05-14,SO,27.9
2020-05-15,SO,36.59
2020-05-16,SO,31.87
2020-05-17,SO,32.04
2020-05-18,SO,39.95
2020-05-19,SO,43.03
2020-05-20,SO,49.53
2020-05-21,SO,43.54
2020-05-22,SO,45.38
2020-05-23,SO,31.63
2020-05-24,SO,32.67
2020-05-25,SO,41.93
2020-05-26,SO,44.41
2020-05-27,SO,44.54
2020-05-28,SO,42.71
2020-05-29,SO,47.8
2020-05-30,SO,40.65
2020-05-31,SO,40.6
2020-06-01,SO,38.49
2020-02-01,SZ,47.79
2020-02-02,SZ,31.85
2020-02-03,SZ,45.26
2020-02-04,SZ,45.65
2020-02-05,SZ,47.91
2020-02-06,SZ,52.18
2020-02-07,SZ,55.99
2020-02-08,SZ,49.71
2020-02-09,SZ,40.93
2020-02-10,SZ,40.94
2020-02-11,SZ,45.39
2020-02-12,SZ,49.61
2020-02-13,SZ,49.81
2020-02-14,SZ,54.29
2020-02-15,SZ,50.63
2020-02-16,SZ,37.33
2020-02-17,SZ,46.47
2020-02-18,SZ,49.86
2020-02-19,SZ,49.11
2020-02-20,SZ,50.79
2020-02-21,SZ,53.07
2020-02-22,SZ,52.09
2020-02-23,SZ,35.67
2020-02-24,SZ,47.79
2020-02-25,SZ,47.13
2020-02-26,SZ,47.47
2020-02-27,SZ,49.82
2020-02-28,SZ,55.2
2020-02-29,SZ,43.55
2020-03-01,SZ,37.67
2020-03-02,SZ,45.08
2020-03-03,SZ,47.97
2020-03-04,SZ,51.08
2020-03-05,SZ,47.09
2020-03-06,SZ,50.22
2020-03-07,SZ,41.32
2020-03-08,SZ,40.74
2020-03-09,SZ,43.74
2020-03-10,SZ,44.88
2020-03-11,SZ,48.01
2020-03-12,SZ,47.57
2020-03-13,SZ,47.26
2020-03-14,SZ,34.51
2020-03-15,SZ,33.49
2020-03-16,SZ,40.68
2020-03-17,SZ,33.92
2020-03-18,SZ,34.17
2020-03-19,SZ,33.66
2020-03-20,SZ,30.85
2020-03-21,SZ,18.67
2020-03-22,SZ,13.01
2020-03-23,SZ,27.12
2020-03-24,SZ,28.31
2020-03-25,SZ,27.3
2020-03-26,SZ,28.04
2020-03-27,SZ,30.58
2020-03-28,SZ,26.2
2020-03-29,SZ,13.9
2020-03-30,SZ,24.92
2020-03-31,SZ,28.47
2020-04-01,SZ,30.01
2020-04-02,SZ,30.35
2020-04-03,SZ,31.21
2020-04-04,SZ,25.81
2020-04-05,SZ,23.3
2020-04-06,SZ,30.41
2020-04-07,SZ,26.16
2020-04-08,SZ,33.54
2020-04-09,SZ,34.83
2020-04-10,SZ,26.33
2020-04-11,SZ,29.16
2020-04-12,SZ,24.31
2020-04-13,SZ,24.4
2020-04-14,SZ,30.26
2020-04-15,SZ,34.06
2020-04-16,SZ,32.02
2020-04-17,SZ,36.27
2020-04-18,SZ,31.07
2020-04-19,SZ,26.36
2020-04-20,SZ,31.73
2020-04-21,SZ,32.84
2020-04-22,SZ,32.4
2020-04-23,SZ,38.92
2020-04-24,SZ,39.04
2020-04-25,SZ,33.17
2020-04-26,SZ,25.85
2020-04-27,SZ,38.54
2020-04-28,SZ,33.54
2020-04-29,SZ,38.47
2020-04-30,SZ,37.42
2020-05-01,SZ,35.36
2020-05-02,SZ,28.62
2020-05-03,SZ,32.67
2020-05-04,SZ,42.14
2020-05-05,SZ,36.48
2020-05-06,SZ,44.54
2020-05-07,SZ,48.88
2020-05-08,SZ,49.01
2020-05-09,SZ,40.67
2020-05-10,SZ,34.78
2020-05-11,SZ,37.72
2020-05-12,SZ,39.53
2020-05-13,SZ,33.8
2020-05-14,SZ,34.76
2020-05-15,SZ,45.15
2020-05-16,SZ,40.67
2020-05-17,SZ,44.31
2020-05-18,SZ,49.83
2020-05-19,SZ,51.65
2020-05-20,SZ,59.33
2020-05-21,SZ,57.17
2020-05-22,SZ,58.13
2020-05-23,SZ,40.71
2020-05-24,SZ,43.72
2020-05-25,SZ,51.09
2020-05-26,SZ,53.62
2020-05-27,SZ,52.35
2020-05-28,SZ,48.81
2020-05-29,SZ,55.83
2020-05-30,SZ,50.09
2020-05-31,SZ,50.79
2020-06-01,SZ,51.19
2020-02-01,TG,40.1
2020-02-02,TG,26.27
2020-02-03,TG,41.32
2020-02-04,TG,43.66
2020-02-05,TG,44.92
2020-02-06,TG,46.74
2020-02-07,TG,49.86
2020-02-08,TG,42.36
2020-02-09,TG,35.52
2020-02-10,TG,38.75
2020-02-11,TG,43.11
2020-02-12,TG,46.46
2020-02-13,TG,47.27
2020-02-14,TG,48.86
2020-02-15,TG,44
2020-02-16,TG,33.64
2020-02-17,TG,42.99
2020-02-18,TG,45.98
2020-02-19,TG,46.22
2020-02-20,TG,48.05
2020-02-21,TG,49.82
2020-02-22,TG,44.04
2020-02-23,TG,31.05
2020-02-24,TG,45.13
2020-02-25,TG,45.74
2020-02-26,TG,44.88
2020-02-27,TG,45.92
2020-02-28,TG,49.05
2020-02-29,TG,39.34
2020-03-01,TG,32.26
2020-03-02,TG,42.51
2020-03-03,TG,44.61
2020-03-04,TG,46.36
2020-03-05,TG,44.72
2020-03-06,TG,46.8
2020-03-07,TG,37.28
2020-03-08,TG,33.53
2020-03-09,TG,42.15
2020-03-10,TG,42.64
2020-03-11,TG,44.96
2020-03-12,TG,44.31
2020-03-13,TG,44.34
2020-03-14,TG,30.45
2020-03-15,TG,27.41
2020-03-16,TG,37.38
2020-03-17,TG,31.3
2020-03-18,TG,31.02
2020-03-19,TG,30.48
2020-03-20,TG,29.32
2020-03-21,TG,15.39
2020-03-22,TG,11.86
2020-03-23,TG,25.88
2020-03-24,TG,25.95
2020-03-25,TG,26.17
2020-03-26,TG,25.52
2020-03-27,TG,27.6
2020-03-28,TG,21.01
2020-03-29,TG,10.68
2020-03-30,TG,24.5
2020-03-31,TG,26.73
2020-04-01,TG,27.92
2020-04-02,TG,28.01
2020-04-03,TG,28.93
2020-04-04,TG,20.53
2020-04-05,TG,17.78
2020-04-06,TG,27.92
2020-04-07,TG,24.76
2020-04-08,TG,30.61
2020-04-09,TG,31.8
2020-04-10,TG,19.49
2020-04-11,TG,23.35
2020-04-12,TG,19.47
2020-04-13,TG,18.5
2020-04-14,TG,28.29
2020-04-15,TG,30.44
2020-04-16,TG,29.09
2020-04-17,TG,32.02
2020-04-18,TG,24.16
2020-04-19,TG,21.07
2020-04-20,TG,28.93
2020-04-21,TG,30.08
2020-04-22,TG,28.26
2020-04-23,TG,33.26
2020-04-24,TG,33.85
2020-04-25,TG,25.15
2020-04-26,TG,20.83
2020-04-27,TG,33.59
2020-04-28,TG,31.45
2020-04-29,TG,34.63
2020-04-30,TG,34.55
2020-05-01,TG,26.21
2020-05-02,TG,24.08
2020-05-03,TG,24.76
2020-05-04,TG,35.2
2020-05-05,TG,34.11
2020-05-06,TG,38.51
2020-05-07,TG,41.55
2020-05-08,TG,40.82
2020-05-09,TG,31.63
2020-05-10,TG,26.82
2020-05-11,TG,34.45
2020-05-12,TG,37.31
2020-05-13,TG,32.3
2020-05-14,TG,32.78
2020-05-15,TG,42.36
2020-05-16,TG,35.47
2020-05-17,TG,33.99
2020-05-18,TG,40.13
2020-05-19,TG,39.55
2020-05-20,TG,46.61
2020-05-21,TG,40.14
2020-05-22,TG,44.24
2020-05-23,TG,31.23
2020-05-24,TG,32.54
2020-05-25,TG,44.25
2020-05-26,TG,46.29
2020-05-27,TG,48.52
2020-05-28,TG,45.67
2020-05-29,TG,50.05
2020-05-30,TG,41.36
2020-05-31,TG,39.68
2020-06-01,TG,39.84
2020-02-01,TI,38.11
2020-02-02,TI,36.41
2020-02-03,TI,37.68
2020-02-04,TI,36.78
2020-02-05,TI,37.37
2020-02-06,TI,38.45
2020-02-07,TI,41.24
2020-02-08,TI,38.65
2020-02-09,TI,39.3
2020-02-10,TI,35.47
2020-02-11,TI,37.15
2020-02-12,TI,40.01
2020-02-13,TI,40.67
2020-02-14,TI,43.55
2020-02-15,TI,40.55
2020-02-16,TI,40.28
2020-02-17,TI,37.73
2020-02-18,TI,38.97
2020-02-19,TI,39.57
2020-02-20,TI,40.63
2020-02-21,TI,42.88
2020-02-22,TI,40.26
2020-02-23,TI,44.96
2020-02-24,TI,40.71
2020-02-25,TI,37.92
2020-02-26,TI,36.83
2020-02-27,TI,36.56
2020-02-28,TI,39.65
2020-02-29,TI,30.95
2020-03-01,TI,29.52
2020-03-02,TI,33.27
2020-03-03,TI,34.95
2020-03-04,TI,36.74
2020-03-05,TI,35.15
2020-03-06,TI,38.1
2020-03-07,TI,34.06
2020-03-08,TI,34.17
2020-03-09,TI,33.61
2020-03-10,TI,32.22
2020-03-11,TI,32.78
2020-03-12,TI,29.63
2020-03-13,TI,29.79
2020-03-14,TI,18.56
2020-03-15,TI,15.36
2020-03-16,TI,21.62
2020-03-17,TI,20
2020-03-18,TI,20.41
2020-03-19,TI,16.03
2020-03-20,TI,15.7
2020-03-21,TI,13.07
2020-03-22,TI,9.02
2020-03-23,TI,14.63
2020-03-24,TI,14.76
2020-03-25,TI,13.75
2020-03-26,TI,13.81
2020-03-27,TI,14.92
2020-03-28,TI,12.55
2020-03-29,TI,9.97
2020-03-30,TI,13.23
2020-03-31,TI,13.69
2020-04-01,TI,14.4
2020-04-02,TI,15.03
2020-04-03,TI,16.2
2020-04-04,TI,13.02
2020-04-05,TI,11.07
2020-04-06,TI,15.33
2020-04-07,TI,12.75
2020-04-08,TI,16.88
2020-04-09,TI,17.81
2020-04-10,TI,17.01
2020-04-11,TI,14.59
2020-04-12,TI,11.17
2020-04-13,TI,12.64
2020-04-14,TI,17.69
2020-04-15,TI,18.29
2020-04-16,TI,17.57
2020-04-17,TI,20.28
2020-04-18,TI,16.85
2020-04-19,TI,15.45
2020-04-20,TI,17.95
2020-04-21,TI,19.01
2020-04-22,TI,17.83
2020-04-23,TI,23.15
2020-04-24,TI,24.53
2020-04-25,TI,20.48
2020-04-26,TI,17.98
2020-04-27,TI,23.89
2020-04-28,TI,22.66
2020-04-29,TI,28.46
2020-04-30,TI,27.35
2020-05-01,TI,20.06
2020-05-02,TI,25.32
2020-05-03,TI,30.98
2020-05-04,TI,31.85
2020-05-05,TI,29.52
2020-05-06,TI,31.83
2020-05-07,TI,33.15
2020-05-08,TI,34.22
2020-05-09,TI,29.22
2020-05-10,TI,27.12
2020-05-11,TI,27.78
2020-05-12,TI,32.35
2020-05-13,TI,25.05
2020-05-14,TI,29.81
2020-05-15,TI,36.71
2020-05-16,TI,28.96
2020-05-17,TI,34.73
2020-05-18,TI,32.62
2020-05-19,TI,33.72
2020-05-20,TI,42.49
2020-05-21,TI,40.14
2020-05-22,TI,43.45
2020-05-23,TI,39.26
2020-05-24,TI,54.03
2020-05-25,TI,41.82
2020-05-26,TI,41.04
2020-05-27,TI,40.09
2020-05-28,TI,38.43
2020-05-29,TI,42.13
2020-05-30,TI,36.89
2020-05-31,TI,37.33
2020-06-01,TI,54.16
2020-02-01,UR,40.8
2020-02-02,UR,33.67
2020-02-03,UR,37.39
2020-02-04,UR,33.91
2020-02-05,UR,37.42
2020-02-06,UR,42.15
2020-02-07,UR,47.9
2020-02-08,UR,45.05
2020-02-09,UR,45.05
2020-02-10,UR,37.46
2020-02-11,UR,35.21
2020-02-12,UR,38.76
2020-02-13,UR,41.14
2020-02-14,UR,43.64
2020-02-15,UR,47.05
2020-02-16,UR,41.33
2020-02-17,UR,39.37
2020-02-18,UR,42.25
2020-02-19,UR,38.28
2020-02-20,UR,37.36
2020-02-21,UR,41.53
2020-02-22,UR,43.73
2020-02-23,UR,34.81
2020-02-24,UR,37.28
2020-02-25,UR,37.23
2020-02-26,UR,37.34
2020-02-27,UR,37.85
2020-02-28,UR,43.92
2020-02-29,UR,36.37
2020-03-01,UR,36.92
2020-03-02,UR,36.04
2020-03-03,UR,36.69
2020-03-04,UR,40.09
2020-03-05,UR,38.14
2020-03-06,UR,39.99
2020-03-07,UR,36.65
2020-03-08,UR,41.28
2020-03-09,UR,36.29
2020-03-10,UR,36.66
2020-03-11,UR,39.14
2020-03-12,UR,38.78
2020-03-13,UR,38.87
2020-03-14,UR,27.03
2020-03-15,UR,31.71
2020-03-16,UR,32.91
2020-03-17,UR,27.71
2020-03-18,UR,27.02
2020-03-19,UR,24.22
2020-03-20,UR,22.51
2020-03-21,UR,13.4
2020-03-22,UR,9.99
2020-03-23,UR,21.07
2020-03-24,UR,21.56
2020-03-25,UR,21.67
2020-03-26,UR,21.33
2020-03-27,UR,22.84
2020-03-28,UR,18.15
2020-03-29,UR,11.46
2020-03-30,UR,19.66
2020-03-31,UR,21.66
2020-04-01,UR,23.58
2020-04-02,UR,24.31
2020-04-03,UR,24.49
2020-04-04,UR,19.07
2020-04-05,UR,17.34
2020-04-06,UR,23.48
2020-04-07,UR,20.22
2020-04-08,UR,25.68
2020-04-09,UR,26.71
2020-04-10,UR,18.93
2020-04-11,UR,21.92
2020-04-12,UR,18.07
2020-04-13,UR,19.1
2020-04-14,UR,23.67
2020-04-15,UR,26.86
2020-04-16,UR,26.28
2020-04-17,UR,28.57
2020-04-18,UR,22.75
2020-04-19,UR,21.1
2020-04-20,UR,25.18
2020-04-21,UR,26.78
2020-04-22,UR,24.3
2020-04-23,UR,31.08
2020-04-24,UR,32.92
2020-04-25,UR,26.17
2020-04-26,UR,22.11
2020-04-27,UR,30.95
2020-04-28,UR,28.3
2020-04-29,UR,33.76
2020-04-30,UR,31.83
2020-05-01,UR,32.06
2020-05-02,UR,24.32
2020-05-03,UR,28.49
2020-05-04,UR,36.89
2020-05-05,UR,32.78
2020-05-06,UR,36.34
2020-05-07,UR,42.6
2020-05-08,UR,42.42
2020-05-09,UR,35.54
2020-05-10,UR,32.06
2020-05-11,UR,33.58
2020-05-12,UR,33.3
2020-05-13,UR,30.73
2020-05-14,UR,33.04
2020-05-15,UR,44.75
2020-05-16,UR,35.27
2020-05-17,UR,43.42
2020-05-18,UR,44.68
2020-05-19,UR,46.72
2020-05-20,UR,50.15
2020-05-21,UR,51.39
2020-05-22,UR,52.24
2020-05-23,UR,38.9
2020-05-24,UR,43.67
2020-05-25,UR,44.06
2020-05-26,UR,46.28
2020-05-27,UR,47.21
2020-05-28,UR,45.28
2020-05-29,UR,51.12
2020-05-30,UR,45.14
2020-05-31,UR,48.18
2020-06-01,UR,56.66
2020-02-01,VD,43.9
2020-02-02,VD,30.02
2020-02-03,VD,43.93
2020-02-04,VD,45.02
2020-02-05,VD,47.23
2020-02-06,VD,48.12
2020-02-07,VD,52.92
2020-02-08,VD,48.74
2020-02-09,VD,37.86
2020-02-10,VD,40.87
2020-02-11,VD,44.01
2020-02-12,VD,47.77
2020-02-13,VD,47.91
2020-02-14,VD,54.35
2020-02-15,VD,52.7
2020-02-16,VD,39.58
2020-02-17,VD,44.7
2020-02-18,VD,49.73
2020-02-19,VD,47.17
2020-02-20,VD,53.35
2020-02-21,VD,53.93
2020-02-22,VD,48.45
2020-02-23,VD,37.19
2020-02-24,VD,46.43
2020-02-25,VD,46.2
2020-02-26,VD,44.53
2020-02-27,VD,45.61
2020-02-28,VD,52.42
2020-02-29,VD,41.78
2020-03-01,VD,34.45
2020-03-02,VD,42.89
2020-03-03,VD,45.73
2020-03-04,VD,47.51
2020-03-05,VD,45.13
2020-03-06,VD,50.9
2020-03-07,VD,43.82
2020-03-08,VD,38
2020-03-09,VD,43.2
2020-03-10,VD,43.32
2020-03-11,VD,45.97
2020-03-12,VD,44.06
2020-03-13,VD,45.83
2020-03-14,VD,32.75
2020-03-15,VD,27.7
2020-03-16,VD,34.84
2020-03-17,VD,27.97
2020-03-18,VD,27.1
2020-03-19,VD,25.9
2020-03-20,VD,24.79
2020-03-21,VD,17.88
2020-03-22,VD,11.3
2020-03-23,VD,19.51
2020-03-24,VD,20.14
2020-03-25,VD,20.42
2020-03-26,VD,20.67
2020-03-27,VD,22.42
2020-03-28,VD,20.15
2020-03-29,VD,12.39
2020-03-30,VD,18.81
2020-03-31,VD,21.16
2020-04-01,VD,23.06
2020-04-02,VD,23.24
2020-04-03,VD,24.89
2020-04-04,VD,21.16
2020-04-05,VD,19.28
2020-04-06,VD,23.67
2020-04-07,VD,20.2
2020-04-08,VD,27.22
2020-04-09,VD,28.51
2020-04-10,VD,21.5
2020-04-11,VD,23.85
2020-04-12,VD,19.59
2020-04-13,VD,19.79
2020-04-14,VD,24.98
2020-04-15,VD,27.67
2020-04-16,VD,26.02
2020-04-17,VD,29.88
2020-04-18,VD,24.92
2020-04-19,VD,19.56
2020-04-20,VD,26.22
2020-04-21,VD,26.77
2020-04-22,VD,25.04
2020-04-23,VD,31.98
2020-04-24,VD,32.84
2020-04-25,VD,26.01
2020-04-26,VD,18.99
2020-04-27,VD,30.36
2020-04-28,VD,28.02
2020-04-29,VD,33.97
2020-04-30,VD,30.36
2020-05-01,VD,30.8
2020-05-02,VD,25.2
2020-05-03,VD,24.38
2020-05-04,VD,35.98
2020-05-05,VD,33.67
2020-05-06,VD,38.09
2020-05-07,VD,40.28
2020-05-08,VD,41.19
2020-05-09,VD,36.6
2020-05-10,VD,29.12
2020-05-11,VD,33.08
2020-05-12,VD,35.15
2020-05-13,VD,29.82
2020-05-14,VD,33.97
2020-05-15,VD,41.47
2020-05-16,VD,37
2020-05-17,VD,38.03
2020-05-18,VD,41.87
2020-05-19,VD,42.02
2020-05-20,VD,46.94
2020-05-21,VD,48.14
2020-05-22,VD,49.46
2020-05-23,VD,34.96
2020-05-24,VD,41.03
2020-05-25,VD,43.42
2020-05-26,VD,45.1
2020-05-27,VD,47.25
2020-05-28,VD,46.48
2020-05-29,VD,51.98
2020-05-30,VD,48.24
2020-05-31,VD,48.39
2020-06-01,VD,46.83
2020-02-01,VS,54.7
2020-02-02,VS,44.25
2020-02-03,VS,41.71
2020-02-04,VS,39.05
2020-02-05,VS,44.67
2020-02-06,VS,49.24
2020-02-07,VS,56.38
2020-02-08,VS,61.03
2020-02-09,VS,62.39
2020-02-10,VS,39.02
2020-02-11,VS,40.23
2020-02-12,VS,46.88
2020-02-13,VS,45.93
2020-02-14,VS,55.71
2020-02-15,VS,62.13
2020-02-16,VS,54.97
2020-02-17,VS,44.69
2020-02-18,VS,48.21
2020-02-19,VS,42.51
2020-02-20,VS,50.27
2020-02-21,VS,54.79
2020-02-22,VS,59.43
2020-02-23,VS,55.5
