,Appenzell-Ausserrhoden,Basel-Landschaft,Obwalden,Nidwalden,Freiburg,Appenzell-Innerrhoden,Zurich,Ticino,Geneve,Thurgau,Jura,Neuchatel,Aargau,Luzern,Schwyz,Zug,Glarus,Solothurn,Uri,Basel-Stadt,Schaffhausen,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-02-02,131156,570414,85359,124621,583104,36235,2529333,504911,944365,473222,135031,324281,1095380,766434,384815,247018,78875,537674,68795,492991,148105,1956662,543739,1035704,1428994,750714
2019-02-03,78708,342852,47435,69191,379496,21699,1558886,366355,642026,287772,90406,193261,624741,463938,238410,155771,50424,319963,40996,283999,97808,1201042,336730,627036,901696,448347
2019-02-04,149137,715298,79638,114791,641157,34460,2973024,702256,1298040,562178,149750,374665,1202710,812459,370523,295550,74296,597989,66462,638914,170968,2154914,512369,1127171,1672526,729052
2019-02-05,158736,740069,88001,125551,666540,37890,3055748,714460,1334647,577343,156825,388085,1237928,851634,395360,301893,78591,615639,70931,666394,173785,2260252,535995,1160876,1721236,742933
2019-02-06,169956,766796,92066,131254,683669,41807,3116868,735903,1337611,591787,167010,397360,1257319,878744,423105,308205,84241,631926,88436,685383,177800,2310191,569163,1209802,1753896,770443
2019-02-07,153198,739643,78806,112162,655522,32916,3094955,730152,1362122,582328,158031,383243,1249630,845391,372529,300293,74146,620197,64192,672307,179502,2194291,505569,1142229,1696988,702542
2019-02-08,167125,755536,91665,129633,695480,37505,3198034,754988,1386035,627107,166935,399061,1304775,906825,420422,312119,92055,632313,77395,681624,190894,2326654,606804,1264323,1793235,806355
2019-02-09,136078,589272,89741,126607,562152,35239,2352013,582808,961764,510426,133715,307961,1079214,759582,382682,234925,89892,507547,83025,510923,156182,1927956,709872,1066075,1386057,793926
2019-02-10,104855,352071,58844,85457,389315,28438,1546324,352534,636107,348664,84842,182567,672263,508251,273309,158801,65489,319447,49349,307994,105858,1238243,452088,756862,885191,505737
2019-02-11,142905,711298,71190,102813,615107,28957,2760490,704969,1305686,564957,148632,360309,1264675,801091,340526,276539,64987,604492,54713,656317,189878,2096674,434038,1071542,1619928,629025
2019-02-12,150902,744748,78971,113206,654611,30480,2915403,720731,1374215,584276,154469,391784,1334529,846401,363798,293605,70833,643658,63085,687837,199800,2273124,502619,1129783,1743062,710723
2019-02-13,165386,758939,90221,128425,676204,38256,2980124,730828,1358143,607533,162174,402932,1365927,903311,409385,307597,84004,660627,71301,700296,204702,2354042,577284,1226092,1787020,743948
2019-02-14,166655,765343,95820,132500,685019,40006,3037234,753781,1403584,611874,165267,410094,1378439,906582,413500,311972,85152,673418,74457,713555,207942,2397356,602153,1230125,1800010,759618
2019-02-15,172666,761838,102302,142337,700487,44378,2973487,744880,1374922,631484,167646,409505,1391062,927945,438298,321751,98776,672625,85853,696132,215214,2444943,688176,1304602,1821320,827948
2019-02-16,161039,591572,107917,153057,627529,49161,2377297,594367,942935,551417,134170,344739,1194459,851836,445542,262450,106253,576073,91379,523795,181240,2142160,782292,1215280,1545020,899377
2019-02-17,147008,472060,95210,134206,505367,51539,1818862,444974,664110,419126,107013,260034,871798,676325,396373,227665,91078,444702,79577,382092,140547,1717228,646872,977296,1196562,725849
2019-02-18,152261,729022,85435,122991,650820,35202,2878613,698906,1111035,584171,135478,381644,1343267,849805,380608,325463,79122,666750,68680,662357,198043,2244144,565676,1161895,1708304,770724
2019-02-19,160658,758911,85857,120352,674839,36730,3021655,722105,1152994,602448,143454,402913,1401941,883033,391010,350974,79107,696048,69667,704052,205434,2329470,568284,1200964,1801929,791927
