canton_codes,canton_pop
AG,690445
AI,16192
AR,55541
BE,1045579
BL,291063
BS,199213
FR,323499
GE,507442
GL,40904
GR,206336
JU,73804
LU,415919
NE,177790
NW,43280
OW,38269
SG,513553
SH,83013
SO,277160
SZ,161175
TG,281393
TI,354264
UR,37037
VD,815261
VS,354148
ZG,129458
ZH,1550173
