"Date","Total","Car_Motorcycle","PublicTransport","Foot","Other"
"2020-01-01",34.0560874256025,25.0117587032385,5.51469355890513,1.88676624078414,1.64286892299121
"2020-01-02",43.8909272338134,32.7924270917137,7.38281063097688,2.17480019354586,1.54088931739961
"2020-01-03",43.531127626385,31.4649485825801,8.32714930807384,2.183164653795,1.55586508185077
"2020-01-04",38.6027839783367,29.5766337184787,5.76152982293829,1.98401476073648,1.28060567667639
"2020-01-05",34.3908608416434,24.5783620651152,6.15493606408769,2.26562297984665,1.39193973310566
"2020-01-06",38.6478514906159,26.5927091399801,8.58346689199388,2.1806903819186,1.29098507691131
"2020-01-07",36.8527596795923,24.6625804129889,8.87491468540412,2.23281189004408,1.08245269091052
"2020-01-08",35.2147901539453,23.5116231926099,8.49687492717509,2.07281070641937,1.13348132759169
"2020-01-09",40.4526246002309,26.4045219149007,10.2923571310856,2.44521816591608,1.31052738801977
"2020-01-10",44.1472242907928,29.7821389572369,10.8510112963709,2.34223127554382,1.1718427612949
"2020-01-11",40.4821497215316,29.9253037521275,6.49667871482332,2.37384353609451,1.68632371837362
"2020-01-12",38.6927154399635,28.2229978632467,6.85667177962606,2.25377815538835,1.35926764156824
"2020-01-13",41.5468651883933,27.8844524666399,10.2122835252702,2.28372320528201,1.16640599171354
"2020-01-14",42.432668958773,27.6010733945338,11.0853085540711,2.43856407540417,1.30772293492543
"2020-01-15",42.6836202334216,27.5727846455898,11.3463628170238,2.50447252843621,1.26000024270724
"2020-01-16",44.6344273603544,29.8800983027425,10.8261619049201,2.5469797888419,1.38118736371432
"2020-01-17",47.4488796347127,32.1933854367944,11.5737333227371,2.44047460782779,1.24128626723287
"2020-01-18",42.5375139865621,30.9432723608004,7.80781240107635,2.37458699589848,1.41184222868396
"2020-01-19",36.9775576952561,26.8532209457655,7.00321313165253,1.98898264765166,1.13214096997096
"2020-01-20",41.7948145602949,27.8160101866304,10.2937144378061,2.41691809786054,1.26817183848694
"2020-01-21",42.5593244270332,28.3281902344951,10.4640387104944,2.48398696904864,1.28310851251314
"2020-01-22",42.2431299417586,27.6564309085192,10.7018424554859,2.52471328576839,1.36014329180109
"2020-01-23",43.5370181364916,27.774953367078,11.8460064539841,2.54120234670652,1.37485596841388
"2020-01-24",49.5880524592954,33.131185161372,12.3288160479524,2.70270918957292,1.42534206103542
"2020-01-25",45.9398559235729,33.8453737451972,8.10629248000104,2.42313931416537,1.56505038427253
"2020-01-26",40.4019960889142,28.4012520876693,8.34719563773324,2.1276181831497,1.52593018055751
"2020-01-27",40.9843160407228,27.7219426851203,9.64647007200392,2.31123081131481,1.30467247212246
"2020-01-28",42.4346542045341,26.3455785011904,12.6464715797477,2.21980998945459,1.22279413378767
"2020-01-29",42.0698346432066,27.9006060015722,10.6168875095395,2.35918838040386,1.19315275158934
"2020-01-30",45.9284185577833,29.624454702939,12.0821248937924,2.66734753909457,1.55449142180138
"2020-01-31",48.5990237749248,32.9300305579974,11.2586448375811,2.66192132843453,1.74842705098645
"2020-02-01",43.8878374199827,31.9958075414107,7.86752342029038,2.54289783115044,1.48160862729569
"2020-02-02",38.4717692361716,27.4840540770866,8.26039671247316,1.75230686568963,0.97501158118152
"2020-02-03",41.0872684935786,26.5676725669742,10.8351376794401,2.31929534922765,1.36516289841036
"2020-02-04",41.1068032363827,26.0052853651081,11.4455389594453,2.43337292257737,1.22260598925746
"2020-02-05",44.0863090909229,29.0703111267733,10.9906273414184,2.61236180816187,1.41300881418661
"2020-02-06",47.0322000746248,29.803608544268,12.5343796488702,2.81467200560642,1.87953987618878
"2020-02-07",52.5853563350851,33.8796481836926,13.8884752500762,2.84383836163773,1.97339454026482
"2020-02-08",50.5168654474696,36.589716528034,9.05097043060911,2.79098999878788,2.08518848982874
"2020-02-09",43.4287433401289,29.4119887393098,9.71181428089953,2.56120381564723,1.74373650422316
"2020-02-10",38.5321955372026,25.7449458960088,9.61745281175111,2.21485931720213,0.954937512249219
"2020-02-11",40.8259609113997,26.7311674235539,10.6322870878399,2.43244039974195,1.03006600055585
"2020-02-12",42.6120887769846,28.4044816236109,10.0675267046085,2.55950273519656,1.58057771373729
"2020-02-13",44.3694366013565,29.1073523898185,11.4390396670131,2.54244054943741,1.280603995175
"2020-02-14",49.3116114245244,32.420843998573,12.5206558193276,2.73546986684473,1.6346417403957
"2020-02-15",47.8433750238726,35.0915444509585,7.70574124187065,2.77523154736734,2.27085778361842
"2020-02-16",36.7341236621766,26.5602366601344,6.9753971531564,1.98720718867852,1.21128265997093
"2020-02-17",39.3135988661989,26.2506036684637,9.64032802102737,2.22011653984542,1.2025506368158
"2020-02-18",41.7698082859711,26.9904394513939,10.7750711476763,2.49353876020702,1.51075892664098
"2020-02-19",41.2294529579,27.8029486153675,9.85184535191592,2.32617790148534,1.24848108907122
"2020-02-20",43.770282357283,27.9569522214118,11.7136126018434,2.65699016930661,1.44272736426366
"2020-02-21",46.6128654675147,30.3334238048351,12.1946420542867,2.66271627792066,1.42208332992751
"2020-02-22",44.6729377685529,31.892832632541,8.38451889106135,2.66493578276731,1.73065046158557
"2020-02-23",37.8523719466677,26.9950044534276,7.65650982841834,1.99698893189969,1.20386873350589
"2020-02-24",41.930296858026,27.5372924646885,10.2531010834824,2.57553637935494,1.56436693025389
"2020-02-25",39.5193470540063,26.0738421976396,9.8121604936012,2.33368178883771,1.29966257349148
"2020-02-26",39.0248698516956,25.4653264122974,10.2211288903689,2.18250491484336,1.15590963370558
"2020-02-27",41.1615329882004,26.6719598924984,10.9488344771898,2.37031407314995,1.1704245455044
"2020-02-28",45.811717927835,29.1353921689206,12.5159293540434,2.6111725363813,1.54922386823775
"2020-02-29",39.7671090581221,28.8981241000548,7.31175766091637,2.2879649342334,1.26926236310208
"2020-03-01",36.2524923506833,24.6630383255081,8.25648323619491,2.10579488468182,1.22717590414096
"2020-03-02",38.2506154638616,26.0443385279801,9.05762649707354,2.18826537197705,0.960385066783079
"2020-03-03",39.4166899100207,26.7847840716501,9.05142360823484,2.45175591231953,1.12872631784176
"2020-03-04",42.2269239082109,27.5869704070629,10.6905057929901,2.53076447792428,1.41868322965732
"2020-03-05",40.9404716869639,26.6967072877473,10.777186219275,2.24602071973779,1.22055745967237
"2020-03-06",42.80920428281,28.7734408540818,10.3659074406556,2.31514079241718,1.35471519541376
"2020-03-07",38.8930471581759,28.4413241669084,6.82194559596621,2.30629845476894,1.32347894031963
"2020-03-08",38.4418954381976,27.339609098118,7.50471977363198,2.1492972260801,1.44826934071535
"2020-03-09",36.8164765392767,24.8155161007842,8.87848955657481,2.19240811772263,0.930062763978022
"2020-03-10",36.7898248245568,23.9900834570306,9.58847749744721,2.20208814843046,1.0091757211775
"2020-03-11",38.3372407309164,25.7153467473559,9.09429876664179,2.39986425861279,1.12773095839741
"2020-03-12",40.2167858495972,26.8877339487081,9.64538060573994,2.47988629480408,1.20378500040657
"2020-03-13",39.0322724733415,26.1877479141379,9.16277935639746,2.43883542667959,1.24290977579477
"2020-03-14",31.3100307494532,22.9760633086833,5.06765893141231,2.22170147920301,1.04460702983989
"2020-03-15",26.390750435462,19.0441301093791,4.02911839715652,2.41510114730058,0.902400781609019
"2020-03-16",28.6003992666145,20.8804085031148,4.80993174671842,2.16118709704257,0.748871919827816
"2020-03-17",23.6459341178778,17.4770392287406,3.53463271406655,1.97620776811884,0.658054407059708
"2020-03-18",22.2735679938469,16.5842572803317,2.91818734770185,2.07732775899898,0.693795606782036
"2020-03-19",21.1585826626719,15.6953930944262,2.77709316177344,2.00318049415932,0.68291591221522
"2020-03-20",22.1927787536873,16.7436330799197,2.84599710001573,1.83105416789263,0.772094405730832
"2020-03-21",14.0971068993406,10.7269855168074,1.13037143561033,1.74926053020505,0.490489416759862
"2020-03-22",11.5712583491889,8.0246276827036,1.58910934987627,1.50728822190611,0.450233094856919
"2020-03-23",17.3444112065556,13.1302450762768,2.02998619568332,1.59648917083601,0.587690763795232
"2020-03-24",17.1749309527563,12.9747973614213,1.91625569027836,1.7259308449802,0.557947055874935
"2020-03-25",16.4244169191794,12.4331574383722,1.74713131832667,1.58654968645694,0.657578476019847
"2020-03-26",17.6300142247119,13.7773207126812,1.59289823661295,1.67672074399026,0.583074531327037
"2020-03-27",18.7379783202032,14.1374846087537,2.1237047335063,1.84562738712118,0.631161590879818
"2020-03-28",17.0835167003917,12.9628192045625,1.3613843521386,2.11286948162325,0.646443662415385
"2020-03-29",11.4325813185938,8.41120208691883,1.04110975206823,1.51035740268424,0.469912077099538
"2020-03-30",17.2752716414541,13.5310479337061,1.78144628043548,1.44422211675733,0.518555310523222
"2020-03-31",16.3258542279095,12.4015579232213,1.60162230485852,1.75696550019493,0.565708499363167
"2020-04-01",17.9330215977428,13.5072700921178,1.77168522945583,1.96675903305523,0.687307242871613
"2020-04-02",18.2160551281442,13.6814069704788,2.06248008463939,1.86848961246818,0.603678460710789
"2020-04-03",20.3993321679129,15.7427234213748,2.07371806660997,1.89478785076476,0.688102829170795
"2020-04-04",18.0466403090821,13.7578755096068,1.51727741160421,2.0661217683752,0.705365619451256
"2020-04-05",16.2891755743087,12.1017577822937,1.14628955648281,2.15185172079755,0.88927651449917
"2020-04-06",18.8815018917239,14.0855826966547,2.24995632936473,1.81750436445837,0.728458501377096
"2020-04-07",18.8219810638079,13.9013853589669,2.37037046737726,1.89918375716853,0.651041480204298
"2020-04-08",20.4311474332928,15.6123333112791,2.07749288751149,1.943033642894,0.798287591537704
"2020-04-09",22.817278498375,17.747198147066,2.34425854608518,2.01063812191102,0.715183683271273
"2020-04-10",18.4041569170607,13.9839167515621,1.49560468355843,2.33139001827411,0.593245463806474
"2020-04-11",19.2501687919,14.6042596507189,1.68245533420057,2.18222328830116,0.781230518759403
"2020-04-12",15.7783930986451,11.5872620908538,1.22412958889216,2.28768203483657,0.679319384209911
"2020-04-13",16.3530833930095,12.2014143790178,1.48644016736303,2.05493852521774,0.610290321370458
"2020-04-14",18.4158752918351,14.0592395559161,1.82474099773686,1.80144558830605,0.730449150173874
"2020-04-15",21.6186413081315,16.1463759500638,2.45832132749302,2.08727196406347,0.926672066560776
"2020-04-16",20.4071605664813,15.3064138815032,2.32665284257534,2.05906693432316,0.715026908417903
"2020-04-17",22.8412535956492,17.7390845723116,2.14931142901779,2.15385457014447,0.799003024572375
"2020-04-18",19.9351459254078,15.0076813700793,1.92105436199073,2.29884284271084,0.707567351066622
"2020-04-19",18.0635726863519,12.8402709125535,2.18828183256137,2.34508473838576,0.689935203135428
"2020-04-20",20.1956164091561,15.4147932383181,2.27782970837715,1.85733133873729,0.645662124047379
"2020-04-21",20.6214157687659,15.8901959966725,2.26092234409351,1.81264339268785,0.657654035357044
"2020-04-22",21.9933763609387,16.959227025074,2.19858850795988,2.03942043198999,0.796140395807404
"2020-04-23",23.6066401420996,18.3137135991247,2.36097720799759,2.09320563959846,0.838743695494323
"2020-04-24",24.2012274624298,18.2347546436224,2.90436724210734,2.325838286605,0.73626729010541
"2020-04-25",22.8647019262785,17.5059793338135,2.28909189848699,2.29946407787332,0.770166616008832
"2020-04-26",18.9938725303095,13.7166376826677,2.2917515924584,2.27135726720807,0.714125987722344
"2020-04-27",23.6441643395382,17.5651923702891,3.12352284345067,2.08100840505521,0.87444072050602
"2020-04-28",22.5039925551391,17.2252198363806,2.93006894471474,1.70439563013378,0.644308143999388
"2020-04-29",23.1717947689888,17.79908660919,2.75827925765981,1.89011828512021,0.724310616731553
"2020-04-30",23.7083045805756,18.5876001293393,2.84205265933372,1.63126939228554,0.64738240010957
