"Datum","Beschreibung","Typ","Total","Kanton_Zürich_Ja","Kanton_Zürich_Nein","Alter_15-29","Alter_30-64","Alter_65-79","Männlich","Weiblich","Städtisch","Ländlich","Erwerbstätig","In_Ausbildung","Nicht_Erwerbstätig","Abotyp_GA","Abotyp_Halbtax/Strecken-/Verbundabo","Abotyp_kein_Abo","Auto_Ja","Auto_Nein","Haushaltsgrösse_1_Person","Haushaltsgrösse_2_Personen","Haushaltsgrösse_3+_Personen","Kinder_Ja","Kinder_Nein","D-CH","F-CH","I-CH"
"2020-01-01","Distanz","Mittelwert",34.0560874256025,30.6256220425485,34.8774795326648,37.2207421460556,34.260415891226,28.643791105487,33.2500319215689,34.8626266596841,34.8222090075459,33.0705854595437,34.5008190208101,40.0810639429459,27.3770062800775,45.9612554650534,32.6708103092183,29.2351018224922,33.8088788323273,35.4935625203372,38.2807223436009,31.7033770648979,34.081199540301,31.2458171466067,34.9014423749785,34.387501169202,32.9440594398526,35.3340878909593
"2020-01-01","Radius","Mittelwert",17.0890287833412,14.7371547920208,17.6521625035701,20.4511898832588,16.8675699148344,13.1450537804674,16.7597841162524,17.4184710367474,17.7607793447828,16.2249211604723,16.9402609500697,23.3759296659709,12.9474233673364,23.9009255843298,16.6288470224405,13.5383863195202,16.8637595927052,18.4444022518544,18.1687912339246,15.7009008806234,17.811243142785,14.4751332275725,17.8841155557617,17.394053997556,16.2011112044837,17.4334304978562
"2020-01-01","Distanz","Median",12.4814554482289,12.2099423884908,12.5194084719099,16.8853199106697,12.1933868784141,8.88195845316352,12.9874654355132,12.2754853288675,11.1300464891697,14.343934033638,12.5298865418,18.8613246982082,8.02693125398109,16.5135326679238,12.4877202979284,10.1997459687355,13.0441056080017,8.33325361008505,11.9007654032077,11.1196640832547,14.5621195350484,12.9041755649934,12.3632163217568,12.6594224901854,12.3517974564824,11.9156924733823
"2020-01-01","Radius","Median",4.84737588759084,4.755638900645,4.87535328931726,8.04599789007681,4.72237623225281,2.84019086900777,4.96375110394757,4.62132533565255,4.3031994024435,5.46472469031564,4.8967548435795,9.78002563348424,2.95594053017187,6.40290044955464,4.78396667020413,4.35107653957832,5.18286678095683,3.35800405988799,4.29377175614102,4.50002453599837,5.38337161556167,4.3159236877646,4.94876982197701,4.89736973919554,4.4918479780094,4.76861016063394
"2020-01-02","Distanz","Mittelwert",43.8909272338134,42.8761965273117,44.134567531218,46.7094731990089,43.1930805329262,42.6706357984491,44.0231590458585,43.758616066811,43.5288745966307,44.3510123727774,43.1999585542216,47.03337884681,44.6114563460961,58.204301152476,40.0996887833871,43.4988877985252,45.5072118881046,34.7269057982196,40.9190865635175,42.7502036282988,46.0289947947114,44.7630441910644,43.4853088247256,43.1276223973494,45.7379112701633,45.3299111264058
"2020-01-02","Radius","Mittelwert",21.2073099223393,19.4071691999996,21.63952983857,23.1606852260769,20.676462788938,20.5673786183513,20.3404327528252,22.0747073222016,21.7089396250064,20.5698546250781,20.1513180750948,24.8159604873693,23.2433149842653,29.116843094204,18.7972933458658,22.0040309687333,22.16647152451,16.018880382237,19.0175805233042,20.6719397161134,22.6476963301636,20.1820961163429,21.4763873549147,20.2341910802677,23.5923220980206,22.8556867674204
"2020-01-02","Distanz","Median",16.670620978162,16.4088960714181,16.7493597623719,18.4838978369314,17.5167653344042,11.2615208761913,18.5587690693747,14.8125654877808,13.7261208758432,20.2899608835464,18.6698477563573,16.7833367882801,10.9143368068599,23.7150265453162,13.6569441537539,19.7230992574814,18.7819974497869,8.44147141468261,13.0785086697517,15.8231600701252,19.408757894852,21.233075914381,15.5187879527656,16.2319875761397,15.8732635059243,22.8245821058574
"2020-01-02","Radius","Median",5.29816067145565,5.13376439404235,5.35121251760764,6.0829122532343,5.49661422987048,2.88071137728807,5.889950883061,4.75175918358016,4.49619743238676,6.48592493906999,5.72870916836307,5.38905797078987,3.23958657982973,7.42615930475082,4.50516579544661,5.88959488054439,5.95581388275904,2.41895847271295,3.98832311095006,4.97259285325471,6.07545024915653,6.30987557718902,4.85950709469434,5.27499379488548,5.32406034513244,5.54243320911927
"2020-01-03","Distanz","Mittelwert",43.531127626385,40.6058031644346,44.2249227466677,47.5575500134351,45.2908774136592,30.0269858571028,45.6230713128642,41.4379285226105,40.4122708793562,47.5708843204035,45.8123726293677,43.6830547025979,32.8514438116158,53.1310680260896,40.6313069866207,44.4926103012642,44.4868432059615,38.186311534923,43.7448748954288,39.3545114222049,46.9209734592212,49.014027561972,41.8859120728923,42.1682084758018,48.324715974456,36.9227995162374
"2020-01-03","Radius","Mittelwert",18.0679598961449,16.6901042547859,18.3947439957765,19.1080824463855,18.8792446147043,13.0561168108557,17.7026207711427,18.4335182684717,17.0859113127224,19.3399764267251,18.6909489092851,18.6439740922972,14.7343842412999,23.7182500256658,16.7828089709088,17.6341152515921,18.2700400467124,16.9766596289795,19.9964340992259,15.6366011300518,19.2100396076767,20.2420009477433,17.4375549911623,17.66565936725,20.0143823242697,12.8562103624291
"2020-01-03","Distanz","Median",21.3255593792048,19.5064528119567,21.7152753584833,24.4059690600482,23.6092317792412,10.7928412640055,22.1702793176519,20.541973734657,16.7305427590698,26.2589614563193,24.3663831917042,16.2300437240845,12.6048958806668,24.214056606987,18.8126834198781,26.2441819036627,22.9975613992269,12.1383619950096,20.8545810581009,18.8585788612409,24.1058722918089,27.0998859685634,19.504385404065,20.9434253213935,24.9253555481561,16.6385917685274
