,TI,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,UR,VD,VS,ZG,ZH
39,714,111.0,117.0,135.0,126.0,247.0,487.0,257.0,748.0,274.0,332.0,231.0,136.0,287.0,249.0,158.0,126.0,76.0,114.0,152.0,103.0,205.0,546.0,434.0,109.0,171.0
40,722,113.0,123.0,135.0,131.0,253.0,498.0,266.0,786.0,279.0,342.0,235.0,137.0,297.0,249.0,158.0,128.0,76.0,118.0,153.0,104.0,205.0,561.0,445.0,109.0,177.0
41,728,119.0,123.0,135.0,136.0,261.0,508.0,271.0,820.0,282.0,349.0,242.0,139.0,307.0,249.0,158.0,129.0,78.0,120.0,154.0,107.0,216.0,571.0,453.0,109.0,183.0
42,755,124.0,123.0,137.0,138.0,266.0,517.0,276.0,846.0,287.0,359.0,249.0,140.0,309.0,249.0,158.0,131.0,82.0,122.0,155.0,110.0,219.0,583.0,462.0,111.0,187.0
43,771,128.0,123.0,137.0,140.0,269.0,521.0,281.0,869.0,287.0,361.0,250.0,141.0,320.0,249.0,161.0,132.0,86.0,123.0,158.0,112.0,219.0,595.0,469.0,112.0,190.0
44,783,131.0,123.0,141.0,142.0,270.0,524.0,284.0,879.0,287.0,365.0,252.0,144.0,327.0,249.0,166.0,134.0,87.0,123.0,159.0,113.0,222.0,601.0,472.0,112.0,192.0
45,799,133.0,123.0,143.0,143.0,273.0,527.0,290.0,889.0,289.0,367.0,253.0,147.0,334.0,249.0,169.0,136.0,89.0,124.0,160.0,115.0,225.0,606.0,476.0,112.0,193.0
46,809,134.0,123.0,143.0,145.0,275.0,530.0,296.0,896.0,297.0,367.0,253.0,149.0,336.0,252.0,174.0,138.0,90.0,127.0,162.0,116.0,233.0,611.0,484.0,114.0,195.0
47,816,135.0,123.0,146.0,148.0,278.0,536.0,305.0,907.0,297.0,368.0,258.0,150.0,341.0,254.0,179.0,139.0,90.0,128.0,164.0,121.0,233.0,616.0,488.0,114.0,197.0
48,819,137.0,123.0,150.0,151.0,284.0,539.0,311.0,923.0,297.0,372.0,258.0,151.0,341.0,254.0,185.0,139.0,90.0,130.0,165.0,122.0,236.0,625.0,493.0,115.0,200.0
49,822,140.0,123.0,152.0,153.0,288.0,543.0,314.0,937.0,299.0,375.0,260.0,153.0,343.0,256.0,190.0,142.0,91.0,130.0,167.0,123.0,236.0,631.0,498.0,115.0,202.0
50,832,142.0,123.0,153.0,155.0,291.0,549.0,315.0,949.0,299.0,378.0,262.0,154.0,348.0,259.0,192.0,144.0,91.0,131.0,168.0,123.0,238.0,635.0,501.0,115.0,205.0
51,839,145.0,123.0,157.0,155.0,292.0,551.0,319.0,962.0,302.0,379.0,265.0,156.0,352.0,259.0,192.0,145.0,91.0,132.0,170.0,123.0,241.0,639.0,503.0,115.0,207.0
52,846,149.0,123.0,157.0,156.0,292.0,553.0,321.0,968.0,302.0,382.0,265.0,158.0,356.0,259.0,192.0,146.0,91.0,132.0,174.0,123.0,241.0,642.0,509.0,118.0,207.0
53,854,149.0,123.0,157.0,159.0,293.0,553.0,323.0,972.0,302.0,384.0,269.0,158.0,359.0,259.0,195.0,148.0,91.0,132.0,175.0,123.0,241.0,643.0,511.0,119.0,208.0
54,858,149.0,123.0,157.0,161.0,295.0,553.0,325.0,979.0,302.0,387.0,271.0,159.0,360.0,259.0,195.0,149.0,91.0,134.0,175.0,124.0,241.0,647.0,513.0,121.0,210.0
55,860,151.0,123.0,157.0,162.0,296.0,556.0,327.0,985.0,304.0,389.0,272.0,161.0,360.0,259.0,195.0,149.0,91.0,134.0,175.0,124.0,241.0,651.0,518.0,122.0,212.0
56,868,153.0,123.0,159.0,164.0,296.0,557.0,329.0,990.0,309.0,389.0,272.0,162.0,361.0,259.0,195.0,150.0,92.0,135.0,176.0,125.0,241.0,654.0,520.0,122.0,213.0
57,873,156.0,123.0,161.0,165.0,297.0,558.0,330.0,998.0,309.0,391.0,272.0,165.0,363.0,261.0,195.0,150.0,93.0,138.0,180.0,125.0,241.0,658.0,522.0,123.0,215.0
58,876,157.0,123.0,161.0,165.0,298.0,559.0,335.0,1002.0,309.0,392.0,272.0,165.0,365.0,261.0,195.0,152.0,95.0,138.0,180.0,125.0,241.0,661.0,522.0,124.0,217.0
59,882,159.0,123.0,161.0,166.0,298.0,560.0,337.0,1004.0,311.0,393.0,272.0,165.0,368.0,261.0,195.0,152.0,95.0,138.0,181.0,125.0,244.0,662.0,528.0,126.0,218.0
60,887,160.0,123.0,161.0,167.0,298.0,560.0,340.0,1006.0,314.0,394.0,272.0,165.0,369.0,261.0,195.0,152.0,95.0,139.0,181.0,125.0,244.0,664.0,530.0,126.0,218.0
61,889,160.0,123.0,161.0,168.0,299.0,563.0,343.0,1010.0,314.0,395.0,273.0,165.0,370.0,263.0,195.0,152.0,95.0,140.0,181.0,126.0,244.0,666.0,532.0,126.0,220.0
62,890,162.0,123.0,161.0,169.0,300.0,565.0,346.0,1014.0,314.0,396.0,273.0,166.0,371.0,268.0,195.0,152.0,95.0,140.0,181.0,126.0,244.0,669.0,534.0,127.0,221.0
63,895,162.0,123.0,161.0,170.0,301.0,566.0,348.0,1017.0,314.0,396.0,275.0,166.0,372.0,270.0,195.0,153.0,95.0,143.0,181.0,126.0,244.0,670.0,535.0,127.0,222.0
64,898,164.0,123.0,161.0,171.0,302.0,567.0,348.0,1020.0,314.0,397.0,275.0,167.0,373.0,270.0,195.0,153.0,95.0,145.0,181.0,126.0,247.0,672.0,536.0,127.0,222.0
65,901,165.0,123.0,162.0,172.0,303.0,568.0,349.0,1023.0,314.0,397.0,275.0,167.0,374.0,277.0,195.0,153.0,95.0,145.0,181.0,126.0,247.0,674.0,537.0,128.0,222.0
66,904,165.0,123.0,162.0,172.0,303.0,570.0,351.0,1024.0,314.0,397.0,275.0,167.0,377.0,277.0,195.0,153.0,95.0,146.0,182.0,126.0,247.0,675.0,539.0,128.0,223.0
67,904,166.0,123.0,162.0,172.0,303.0,570.0,352.0,1025.0,314.0,397.0,275.0,167.0,378.0,277.0,195.0,154.0,95.0,146.0,182.0,126.0,247.0,675.0,539.0,128.0,223.0
