date,canton_name,total_trips,dataset,train_trips,road_trips,highway_trips,commuter_trips,non_commuter_trips
2019-01-03,Obwalden,104620,2019,7563,85434,11633,16276,88354
2019-01-03,Thurgau,685685,2019,68753,481968,134973,141029,544665
2019-01-03,Glarus,195651,2019,30854,81337,83472,25315,170348
2019-01-03,Basel-Stadt,678060,2019,67749,499840,110480,185030,493040
2019-01-03,Appenzell-Ausserrhoden,162286,2019,13876,137908,10512,33332,128965
2019-01-03,Nidwalden,211437,2019,12133,121268,78047,34345,177103
2019-01-03,Zurich,3270685,2019,452659,2335211,482826,837557,2433140
2019-01-03,Appenzell-Innerrhoden,37897,2019,2384,34100,1421,6112,31795
2019-01-03,Neuchatel,362433,2019,26888,280957,54599,70542,291902
2019-01-03,Bern,2708818,2019,320647,1954924,433265,519026,2189810
2019-01-03,Graubunden,801690,2019,67026,627070,107615,93324,708388
2019-01-03,Sankt-Gallen,1606691,2019,157751,1032533,416427,313505,1293206
2019-01-03,Waadt,1953293,2019,196881,1267919,488512,374064,1579249
2019-01-03,Wallis,1055579,2019,111608,796375,147616,130831,924768
2019-01-04,Solothurn,1028520,2019,160813,573762,293957,202726,825806
2019-01-04,Basel-Landschaft,906739,2019,80994,617356,208399,207806,698943
2019-01-04,Schwyz,600320,2019,68944,354041,177345,100992,499339
2019-01-04,Aargau,1814656,2019,211895,1151408,451366,380716,1433953
2019-01-04,Ticino,741293,2019,25455,589742,126110,143439,597868
2019-01-04,Schaffhausen,200339,2019,21506,171215,7629,41596,158755
2019-01-04,Uri,142812,2019,14011,71829,56984,16513,126311
2019-01-04,Freiburg,773985,2019,57429,549711,166857,133823,640173
2019-01-04,Luzern,1117323,2019,82520,779265,255549,229981,887354
2019-01-04,Geneve,1105026,2019,58849,934364,111825,266875,838163
2019-01-04,Zug,469442,2019,58042,269044,142366,112986,356467
2019-01-04,Jura,139433,2019,10133,122374,6940,23024,116423
2019-01-04,Obwalden,102997,2019,8013,83828,11168,16056,86953
2019-01-04,Thurgau,716355,2019,70523,504456,141388,139776,576592
2019-01-04,Glarus,202864,2019,31740,82274,88861,26838,176038
2019-01-04,Basel-Stadt,715828,2019,69125,531372,115342,181546,534294
2019-01-04,Appenzell-Ausserrhoden,166322,2019,14200,141765,10369,33004,133329
2019-01-04,Nidwalden,211479,2019,12236,122021,77232,34258,177231
2019-01-04,Zurich,3486727,2019,467873,2505362,513501,829768,2656968
2019-01-04,Appenzell-Innerrhoden,37435,2019,2407,33673,1366,6090,31357
2019-01-04,Neuchatel,378874,2019,28080,294426,56378,70488,308396
2019-01-04,Bern,2768526,2019,325768,1991063,451714,511565,2256982
2019-01-04,Graubunden,772211,2019,67172,585000,120058,94819,677413
2019-01-04,Sankt-Gallen,1684304,2019,162781,1082972,438575,314716,1369612
2019-01-04,Waadt,2037716,2019,202472,1321789,513476,376127,1661608
